epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,238.753,0.48515,0.56801,0.37479,0.99431,0.96671,0.98243,0.98637,0.92138,0.96671,0.98243,0.98637,0.9268,0.44226,0.75311,0.33255,0.82522,0.00048275,0.00048275,0.00048275
64,242.693,0.48117,0.55823,0.37763,0.98345,0.96788,0.98337,0.98697,0.89893,0.96788,0.98337,0.98697,0.92765,0.47209,0.83554,0.34985,0.82387,0.000470375,0.000470375,0.000470375
65,246.586,0.49251,0.54538,0.36892,0.98454,0.96437,0.98234,0.9858,0.9037,0.96437,0.98234,0.9858,0.92482,0.4451,0.80163,0.34174,0.80055,0.000458,0.000458,0.000458
66,250.615,0.4665,0.54625,0.36391,0.97794,0.97288,0.98224,0.98663,0.91994,0.97288,0.98224,0.98663,0.91492,0.42558,0.73312,0.35609,0.79523,0.000445625,0.000445625,0.000445625
67,254.549,0.45933,0.54656,0.35335,0.97234,0.96533,0.98424,0.9854,0.91498,0.96533,0.98424,0.9854,0.90821,0.43414,0.7478,0.35921,0.79083,0.00043325,0.00043325,0.00043325
68,258.484,0.45951,0.55865,0.35412,0.98997,0.97654,0.98907,0.98496,0.90664,0.97654,0.98907,0.98496,0.92136,0.42897,0.83591,0.3718,0.79395,0.000420875,0.000420875,0.000420875
69,262.447,0.44509,0.51816,0.34156,0.97308,0.96598,0.99037,0.98334,0.90808,0.96598,0.99037,0.98334,0.9157,0.42027,0.78812,0.36044,0.80898,0.0004085,0.0004085,0.0004085
70,266.433,0.45426,0.55717,0.35217,0.98676,0.98046,0.9767,0.98132,0.89807,0.98046,0.9767,0.98132,0.90656,0.42153,0.78381,0.34934,0.80809,0.000396125,0.000396125,0.000396125
71,270.482,0.44542,0.54134,0.35434,0.96625,0.98301,0.97986,0.98566,0.9238,0.98301,0.97986,0.98566,0.91749,0.45001,0.76577,0.33716,0.83522,0.00038375,0.00038375,0.00038375
72,274.432,0.47057,0.52529,0.36313,0.98405,0.96478,0.98886,0.98656,0.91182,0.95592,0.98065,0.98019,0.91217,0.49095,0.81523,0.3417,0.87559,0.000371375,0.000371375,0.000371375
73,278.486,0.47141,0.52919,0.3482,0.98403,0.97958,0.97662,0.98119,0.90039,0.97958,0.97662,0.98119,0.91977,0.45277,0.77187,0.34315,0.82991,0.000359,0.000359,0.000359
74,282.502,0.44901,0.5684,0.35027,0.97831,0.97156,0.99138,0.98522,0.91842,0.97156,0.99138,0.98522,0.92494,0.44637,0.79608,0.34023,0.8154,0.000346625,0.000346625,0.000346625
75,286.58,0.44212,0.5422,0.35233,0.96985,0.97266,0.98791,0.98668,0.91543,0.97266,0.98791,0.98668,0.92421,0.43924,0.76568,0.31252,0.82054,0.00033425,0.00033425,0.00033425
76,290.593,0.44512,0.51969,0.33394,0.96651,0.97788,0.99138,0.98521,0.91416,0.97788,0.99138,0.98521,0.92556,0.42428,0.70967,0.3236,0.80456,0.000321875,0.000321875,0.000321875
77,294.559,0.44271,0.53298,0.34605,0.9658,0.97449,0.98455,0.985,0.90518,0.97449,0.98455,0.985,0.91771,0.43587,0.77429,0.31539,0.79663,0.0003095,0.0003095,0.0003095
78,298.622,0.45121,0.5103,0.34221,0.96548,0.97809,0.98778,0.98649,0.90157,0.97809,0.98778,0.98649,0.91516,0.43838,0.81855,0.29924,0.81553,0.000297125,0.000297125,0.000297125
79,302.616,0.45309,0.52387,0.34477,0.96941,0.97788,0.99138,0.98605,0.90582,0.97788,0.99138,0.98605,0.92362,0.40804,0.80254,0.29865,0.79544,0.00028475,0.00028475,0.00028475
80,306.67,0.44496,0.55994,0.34777,0.98056,0.96827,0.99138,0.98429,0.91572,0.96827,0.99138,0.98429,0.91829,0.42567,0.79552,0.31614,0.80401,0.000272375,0.000272375,0.000272375
81,310.719,0.43626,0.53781,0.32877,0.96844,0.9721,0.99138,0.98516,0.9161,0.9721,0.99138,0.98516,0.92016,0.40086,0.81996,0.3037,0.78877,0.00026,0.00026,0.00026
82,314.824,0.43796,0.51978,0.33922,0.9676,0.98284,0.98827,0.98671,0.91118,0.98284,0.98827,0.98671,0.92043,0.40382,0.82378,0.29796,0.78464,0.000247625,0.000247625,0.000247625
83,318.831,0.44525,0.49903,0.34404,0.96492,0.97418,0.98721,0.98595,0.90958,0.97418,0.98721,0.98595,0.92629,0.41167,0.82394,0.31236,0.7918,0.00023525,0.00023525,0.00023525
84,322.987,0.44012,0.54277,0.33641,0.96475,0.97536,0.98885,0.98477,0.9167,0.97536,0.98885,0.98477,0.92276,0.42738,0.82082,0.31331,0.80328,0.000222875,0.000222875,0.000222875
85,327.242,0.43056,0.51493,0.3179,0.97094,0.97878,0.98495,0.98448,0.91454,0.97878,0.98495,0.98448,0.92172,0.40031,0.82434,0.28633,0.7792,0.0002105,0.0002105,0.0002105
86,331.452,0.428,0.50873,0.3196,0.95444,0.97202,0.98802,0.98527,0.91374,0.97202,0.98802,0.98527,0.91953,0.41168,0.86277,0.30116,0.78306,0.000198125,0.000198125,0.000198125
87,335.518,0.41778,0.53946,0.32817,0.9487,0.97567,0.9855,0.98524,0.91337,0.97567,0.9855,0.98524,0.92145,0.40258,0.85693,0.2941,0.77877,0.00018575,0.00018575,0.00018575
88,339.671,0.41022,0.50708,0.32415,0.95425,0.96824,0.98826,0.98381,0.91956,0.96824,0.98826,0.98381,0.92365,0.40529,0.86015,0.28689,0.76825,0.000173375,0.000173375,0.000173375
89,343.812,0.44071,0.50791,0.32832,0.97291,0.97607,0.98504,0.98549,0.92117,0.97607,0.98504,0.98549,0.92152,0.39584,0.87531,0.29148,0.76716,0.000161,0.000161,0.000161
90,347.955,0.42793,0.50197,0.31532,0.96596,0.97823,0.98337,0.98671,0.92301,0.97823,0.98337,0.98671,0.92412,0.39612,0.86874,0.28623,0.78625,0.000148625,0.000148625,0.000148625
91,352.899,0.32378,0.38165,0.41654,0.99847,0.97738,0.98475,0.98603,0.91226,0.97738,0.98475,0.98603,0.92279,0.42195,0.89233,0.30436,0.7959,0.00013625,0.00013625,0.00013625
92,356.881,0.30093,0.35733,0.29921,0.98495,0.96647,0.97693,0.98461,0.91271,0.96647,0.97693,0.98461,0.91569,0.40904,0.87627,0.30232,0.77902,0.000123875,0.000123875,0.000123875
93,360.833,0.29548,0.35085,0.28259,0.96948,0.9753,0.96989,0.98536,0.92334,0.9753,0.96989,0.98536,0.91949,0.38291,0.85232,0.27732,0.75613,0.0001115,0.0001115,0.0001115
94,364.818,0.2872,0.34888,0.27535,0.97109,0.9689,0.98325,0.98673,0.92529,0.9689,0.98325,0.98673,0.9252,0.40137,0.84154,0.28815,0.77721,9.9125e-05,9.9125e-05,9.9125e-05
95,368.791,0.27736,0.33951,0.26972,0.97048,0.96884,0.98424,0.98697,0.93004,0.96884,0.98424,0.98697,0.9289,0.38725,0.84916,0.27647,0.76174,8.675e-05,8.675e-05,8.675e-05
96,372.79,0.27245,0.32963,0.2611,0.94419,0.97061,0.9808,0.98607,0.92499,0.97061,0.9808,0.98607,0.92177,0.39247,0.89011,0.28332,0.75819,7.4375e-05,7.4375e-05,7.4375e-05
97,376.745,0.2727,0.34374,0.25826,0.96668,0.97022,0.99012,0.98633,0.92694,0.97022,0.99012,0.98633,0.92441,0.38896,0.89516,0.28122,0.75718,6.2e-05,6.2e-05,6.2e-05
98,380.738,0.26494,0.33217,0.25576,0.9638,0.97352,0.99138,0.987,0.92679,0.97352,0.99138,0.987,0.92459,0.38577,0.88572,0.28053,0.75531,4.9625e-05,4.9625e-05,4.9625e-05
99,384.955,0.27353,0.34793,0.2575,0.96338,0.97555,0.98947,0.987,0.92236,0.97555,0.98947,0.987,0.92649,0.38639,0.88647,0.28138,0.75638,3.725e-05,3.725e-05,3.725e-05
100,389.053,0.26176,0.32661,0.25526,0.97059,0.97567,0.98836,0.98699,0.92617,0.97567,0.98836,0.98699,0.92661,0.38289,0.88497,0.28204,0.75427,2.4875e-05,2.4875e-05,2.4875e-05
